page,href,in_card,context,line,issue
ru/massages/cift-senkron.html,/ru/booking.html,False,,138,broken
ru/massages/derin-doku.html,/ru/booking.html,False,,138,broken
ru/massages/isvec-full-body.html,/ru/booking.html,False,,139,broken
ru/massages/kids-nazik.html,/ru/booking.html,False,,138,broken
ru/massages/klasik-rahatlama.html,/ru/booking.html,False,,138,broken
ru/massages/klasik-sirt.html,/ru/booking.html,False,,138,broken
ru/massages/kranyo-sakral.html,/ru/booking.html,False,,139,broken
ru/massages/lenf-drenaj.html,/ru/booking.html,False,,139,broken
ru/massages/myofascial-release.html,/ru/booking.html,False,,139,broken
ru/massages/refleksoloji.html,/ru/booking.html,False,,139,broken
ru/massages/shiatsu.html,/ru/booking.html,False,,138,broken
ru/massages/sicak-tas.html,/ru/booking.html,False,,138,broken
ru/massages/signature-rituel.html,/ru/booking.html,False,,138,broken
ru/massages/sirt-terapi.html,/ru/booking.html,False,,138,broken
ru/massages/spor-terapi.html,/ru/booking.html,False,,138,broken
ru/massages/tetik-nokta.html,/ru/booking.html,False,,139,broken
ru/massages/thai.html,/ru/booking.html,False,,138,broken
ru/services/acne-balance.html,/ru/booking.html,False,,135,broken
ru/services/anti-aging-pro.html,/ru/booking.html,False,,135,broken
ru/services/barrier-repair.html,/ru/booking.html,False,,135,broken
ru/services/brightening-spot.html,/ru/booking.html,False,,135,broken
ru/services/classic-facial.html,/ru/booking.html,False,,135,broken
ru/services/collagen-lift.html,/ru/booking.html,False,,135,broken
ru/services/deep-cleanse.html,/ru/booking.html,False,,135,broken
ru/services/detox-charcoal.html,/ru/booking.html,False,,135,broken
ru/services/enzyme-peel.html,/ru/booking.html,False,,135,broken
ru/services/eye-contour.html,/ru/booking.html,False,,135,broken
ru/services/glass-skin.html,/ru/booking.html,False,,135,broken
ru/services/gold-mask-ritual.html,/ru/booking.html,False,,135,broken
ru/services/hyaluron-hydrate.html,/ru/booking.html,False,,135,broken
ru/services/led-rejuvenation.html,/ru/booking.html,False,,135,broken
ru/services/lip-care.html,/ru/booking.html,False,,135,broken
ru/services/men-facial.html,/ru/booking.html,False,,135,broken
ru/services/micro-polish.html,/ru/booking.html,False,,135,broken
ru/services/oxygen-boost.html,/ru/booking.html,False,,135,broken
ru/services/sensitive-soothe.html,/ru/booking.html,False,,135,broken
ru/services/vitamin-c-glow.html,/ru/booking.html,False,,135,broken
ru/services/abhyanga-massage/index.html,../../../ru/services/,True,nv-service-stage,128,broken
ru/services/brazilian-maderotherapy/index.html,../../../ru/services/,True,nv-service-stage,128,broken
ru/services/g5-vibro-sculpting/index.html,../../../ru/services/,True,nv-service-stage,134,broken
ru/services/shirodhara-mind-flow/index.html,../../../ru/services/,True,nv-service-stage,134,broken
